dataset_id,smiles_protonated,smiles_deprotonated,pKa,reaction_center_atom_idx,reaction_center_atom_symbol,reaction_center_charge_protonated,reaction_center_charge_deprotonated,reaction_center_Hs_protonated,reaction_center_Hs_deprotonated,reaction_center_hybridization,reaction_center_is_aromatic,reaction_center_is_in_ring,reaction_center_total_valence,internal_id_protonated,internal_id_deprotonated
mol801,CC(CC(=O)O)C(N)=O,CC(CC(=O)[O-])C(N)=O,"4,590",5,O,0,-1,1,0,SP2,FALSE,FALSE,2,1581,1582
mol802,CC(CC(C#N)(c1ccccc1)c1ccccc1)[NH+]1CCCCC1,CC(CC(C#N)(c1ccccc1)c1ccccc1)N1CCCCC1,"7,730",18,N,1,0,1,0,SP3,FALSE,TRUE,4,1583,1584
mol803,CC(CC(C#N)(c1ccccc1)c1ccccc1)[NH+]1CCOCC1,CC(CC(C#N)(c1ccccc1)c1ccccc1)N1CCOCC1,"6,100",18,N,1,0,1,0,SP3,FALSE,TRUE,4,1586,1585
mol804,CC(CC(O)(c1ccccc1)c1ccccc1)[NH+]1CCCCC1,CC(CC(O)(c1ccccc1)c1ccccc1)N1CCCCC1,"8,620",17,N,1,0,1,0,SP3,FALSE,TRUE,4,1587,1588
mol805,CC(CC(c1ccccc1)c1ccccc1)[NH+]1CCCCC1,CC(CC(c1ccccc1)c1ccccc1)N1CCCCC1,"8,800",16,N,1,0,1,0,SP3,FALSE,TRUE,4,1589,1590
mol806,CC(CC(c1ccccc1)c1ccccc1)[NH+]1CCOCC1,CC(CC(c1ccccc1)c1ccccc1)N1CCOCC1,"6,900",16,N,1,0,1,0,SP3,FALSE,TRUE,4,1592,1591
mol807,CC(CC[NH+](C)C)N=O,CC(CCN(C)C)N=O,"11,200",4,N,1,0,1,0,SP3,FALSE,FALSE,4,1593,1594
mol808,CC(CN1c2ccccc2CCc2ccccc21)C[NH+](C)C,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,"8,720",19,N,1,0,1,0,SP3,FALSE,FALSE,4,1595,1596
mol809,CC(CN1c2ccccc2Sc2ccccc21)C[NH+](C)C,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,"9,235",18,N,1,0,1,0,SP3,FALSE,FALSE,4,1597,1598
mol810,CC(CN1c2ccccc2Sc2ccccc21)[NH+](C)C,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,"9,070",17,N,1,0,1,0,SP3,FALSE,FALSE,4,1599,1600
mol811,CC(CO)C[NH+](C)C,CC(CO)CN(C)C,"9,750",3,N,1,0,1,0,SP3,FALSE,FALSE,4,1601,1602
mol812,CC(C[NH+](C)C)C(C#N)(c1ccccc1)c1ccccc1,CC(CN(C)C)C(C#N)(c1ccccc1)c1ccccc1,"7,900",3,N,1,0,1,0,SP3,FALSE,FALSE,4,1603,1604
mol813,CC(C[NH+](C)C)N=O,CC(CN(C)C)N=O,"10,900",3,N,1,0,1,0,SP3,FALSE,FALSE,4,1605,1606
mol814,CC(C[NH+]1CCCCC1)C(C#N)(c1ccccc1)c1ccccc1,CC(CN1CCCCC1)C(C#N)(c1ccccc1)c1ccccc1,"7,540",3,N,1,0,1,0,SP3,FALSE,TRUE,4,1607,1608
mol815,CC(Cc1ccccc1)[NH+](C)CCC#N,CC(Cc1ccccc1)N(C)CCC#N,"6,950",9,N,1,0,1,0,SP3,FALSE,FALSE,4,1609,1610
mol816,CC(Cc1ccccc1)[NH2+]CCC#N,CC(Cc1ccccc1)NCCC#N,"7,230",9,N,1,0,2,1,SP3,FALSE,FALSE,4,1611,1612
mol817,CC(Cc1ccccc1)[NH2+]CCC(c1ccccc1)c1ccccc1,CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1,"8,920",9,N,1,0,2,1,SP3,FALSE,FALSE,4,1613,1614
mol818,CC(Cl)C(=O)O,CC(Cl)C(=O)[O-],"2,880",4,O,0,-1,1,0,SP2,FALSE,FALSE,2,1615,1616
mol819,CC(Cl)C[NH+](C)C,CC(Cl)CN(C)C,"8,120",3,N,1,0,1,0,SP3,FALSE,FALSE,4,1617,1618
mol820,CC(Cl)C[NH3+],CC(Cl)CN,"8,540",3,N,1,0,3,2,SP3,FALSE,FALSE,4,1619,1620
mol821,CC(I)C(=O)O,CC(I)C(=O)[O-],"3,210",4,O,0,-1,1,0,SP2,FALSE,FALSE,2,1621,1622
mol822,CC(N)=[NH+]c1nsc2ccccc12,CC(N)=Nc1nsc2ccccc12,"6,990",2,N,1,0,1,0,SP2,FALSE,FALSE,4,1624,1623
mol823,CC(N)CC#N,CC([NH-])CC#N,"7,850",5,N,0,-1,2,1,SP3,FALSE,FALSE,3,1625,1626
mol824,CC(N=O)C(C[NH+](C)C)N=O,CC(N=O)C(CN(C)C)N=O,"9,500",4,N,1,0,1,0,SP3,FALSE,FALSE,4,1627,1628
mol825,CC(Nc1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2)=[NH+]Cc1ccc(F)cc1,CC(=NCc1ccc(F)cc1)Nc1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2,"8,490",2,N,1,0,1,0,SP2,FALSE,FALSE,4,1629,1630
mol826,CC(Nc1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2)=[NH+]c1ccc(F)cc1,CC(=Nc1ccc(F)cc1)Nc1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2,"8,200",2,N,1,0,1,0,SP2,FALSE,FALSE,4,1631,1632
mol827,CC(Nc1ccccc1)=[NH+]c1ccccc1,CC(=Nc1ccccc1)Nc1ccccc1,"8,300",2,N,1,0,1,0,SP2,FALSE,FALSE,4,1633,1634
mol828,CC(O)(C(=O)O)c1ccccc1,CC(O)(C(=O)[O-])c1ccccc1,"3,530",10,O,0,-1,1,0,SP2,FALSE,FALSE,2,1635,1636
mol829,CC(O)(c1ccccc1)C(C(=O)O)c1ccc(-c2ccccc2)cc1,CC(O)(c1ccccc1)C(C(=O)[O-])c1ccc(-c2ccccc2)cc1,"3,380",23,O,0,-1,1,0,SP2,FALSE,FALSE,2,1637,1638
mol830,CC(O)=CC(=O)C(C)(C)C,CC([O-])=CC(=O)C(C)(C)C,"9,940",9,O,0,-1,1,0,SP2,FALSE,FALSE,2,1639,1640
mol831,CC([OH2+])=CC(=O)C(F)(F)F,CC(O)=CC(=O)C(F)(F)F,"6,090",9,O,1,0,2,1,SP2,FALSE,FALSE,3,1641,1642
mol832,CC(O)=CC(=O)Nc1ccc(C)cc1,CC([O-])=CC(=O)Nc1ccc(C)cc1,"10,150",13,O,0,-1,1,0,SP2,FALSE,FALSE,2,1643,1644
mol833,CC(O)=CC(=O)Nc1cccc(C)c1,CC([O-])=CC(=O)Nc1cccc(C)c1,"10,000",13,O,0,-1,1,0,SP2,FALSE,FALSE,2,1645,1646
mol834,CC(O)=CC(=O)Nc1ccccc1,CC([O-])=CC(=O)Nc1ccccc1,"9,940",12,O,0,-1,1,0,SP2,FALSE,FALSE,2,1647,1648
mol835,CC(O)=CC(N)=O,CC([O-])=CC(N)=O,"10,410",6,O,0,-1,1,0,SP2,FALSE,FALSE,2,1649,1650
mol836,CC(O)C(=O)O,CC(O)C(=O)[O-],"3,760",4,O,0,-1,1,0,SP2,FALSE,FALSE,2,1651,1652
mol837,CC(O)C(C(=O)O)c1ccc(-c2ccccc2)cc1,CC(O)C(C(=O)[O-])c1ccc(-c2ccccc2)cc1,"4,300",17,O,0,-1,1,0,SP2,FALSE,FALSE,2,1653,1654
mol838,CC(O)C(C(=O)O)c1ccc(C2CCCCC2)cc1,CC(O)C(C(=O)[O-])c1ccc(C2CCCCC2)cc1,"4,210",17,O,0,-1,1,0,SP2,FALSE,FALSE,2,1655,1656
mol839,CC(O)CC(=O)O,CC(O)CC(=O)[O-],"4,500",5,O,0,-1,1,0,SP2,FALSE,FALSE,2,1657,1658
mol840,CC(O)C[NH+](C)CC(C)O,CC(O)CN(C)CC(C)O,"8,700",3,N,1,0,1,0,SP3,FALSE,FALSE,4,1659,1660
mol841,CC(O)C[NH+](C)CCO,CC(O)CN(C)CCO,"8,690",3,N,1,0,1,0,SP3,FALSE,FALSE,4,1661,1662
mol842,CC(O)C[NH+](CC(C)O)C(C)(C)C,CC(O)CN(CC(C)O)C(C)(C)C,"9,360",3,N,1,0,1,0,SP3,FALSE,FALSE,4,1663,1664
mol843,CC(O)C[NH+](CC(C)O)C(C)C,CC(O)CN(CC(C)O)C(C)C,"9,330",3,N,1,0,1,0,SP3,FALSE,FALSE,4,1665,1666
mol844,CC(O)C[NH+](CCO)C(C)(C)C,CC(O)CN(CCO)C(C)(C)C,"9,200",3,N,1,0,1,0,SP3,FALSE,FALSE,4,1667,1668
mol845,CC(O)C[NH+](Cc1ccccc1)CC(C)O,CC(O)CN(Cc1ccccc1)CC(C)O,"7,500",3,N,1,0,1,0,SP3,FALSE,FALSE,4,1669,1670
mol846,CC(O)C[NH2+]C(C)(C)C,CC(O)CNC(C)(C)C,"10,000",3,N,1,0,2,1,SP3,FALSE,FALSE,4,1671,1672
mol847,CC(O)C[NH2+]CC(C)O,CC(O)CNCC(C)O,"8,880",3,N,1,0,2,1,SP3,FALSE,FALSE,4,1673,1674
mol848,CC(O)C[NH2+]CCO,CC(O)CNCCO,"8,810",3,N,1,0,2,1,SP3,FALSE,FALSE,4,1675,1676
mol849,CC(O)[C@@H]1C[C@H](CC(=O)O)C1(C)C,CC(O)[C@@H]1C[C@H](CC(=O)[O-])C1(C)C,"4,830",11,O,0,-1,1,0,SP2,FALSE,FALSE,2,1677,1678
mol850,CC(O)c1cccc(O)c1CO,CC(O)c1cccc([O-])c1CO,"9,900",10,O,0,-1,1,0,SP2,FALSE,FALSE,2,1679,1680
mol851,CC(OCC(O)C[NH2+]C(C)(C)C)C1CC1,CC(OCC(O)CNC(C)(C)C)C1CC1,"9,760",9,N,1,0,2,1,SP3,FALSE,FALSE,4,1681,1682
mol852,CC(P)C(=O)O,CC(P)C(=O)[O-],"4,150",4,O,0,-1,1,0,SP2,FALSE,FALSE,2,1683,1684
mol853,CC([C@H](O)c1ccccc1)[NH+](C)C,CC([C@H](O)c1ccccc1)N(C)C,"9,000",10,N,1,0,1,0,SP3,FALSE,FALSE,4,1685,1686
mol854,CC([NH2+]C(C)(C)C)C(=O)c1cccc(Cl)c1,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,"8,600",11,N,1,0,2,1,SP3,FALSE,FALSE,4,1687,1688
mol855,CC([NH2+]CCC(c1ccccc1)c1ccccc1)c1ccccc1,CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,"9,040",8,N,1,0,2,1,SP3,FALSE,FALSE,4,1689,1690
mol856,CC([NH3+])(CO)CO,CC(N)(CO)CO,"8,800",6,N,1,0,3,2,SP3,FALSE,FALSE,4,1691,1692
mol857,CC([NH3+])C(N)=O,CC(N)C(N)=O,"8,020",5,N,1,0,3,2,SP3,FALSE,FALSE,4,1693,1694
mol858,CC([NH3+])CC1CCCCC1,CC(N)CC1CCCCC1,"10,140",9,N,1,0,3,2,SP3,FALSE,FALSE,4,1695,1696
mol859,CC([NH3+])CCCc1ccccc1,CC(N)CCCc1ccccc1,"9,990",11,N,1,0,3,2,SP3,FALSE,FALSE,4,1697,1698
mol860,CC([NH3+])CCc1ccccc1,CC(N)CCc1ccccc1,"9,780",10,N,1,0,3,2,SP3,FALSE,FALSE,4,1699,1700
mol861,CC([NH3+])CO,CC(N)CO,"9,430",4,N,1,0,3,2,SP3,FALSE,FALSE,4,1701,1702
mol862,CC([NH3+])Cc1ccc2c(c1)OCO2,CC(N)Cc1ccc2c(c1)OCO2,"9,670",12,N,1,0,3,2,SP3,FALSE,FALSE,4,1703,1704
mol863,CC([NH3+])Cc1ccccc1,CC(N)Cc1ccccc1,"9,900",9,N,1,0,3,2,SP3,FALSE,FALSE,4,1705,1706
mol864,CC([NH3+])c1ccccc1,CC(N)c1ccccc1,"9,360",8,N,1,0,3,2,SP3,FALSE,FALSE,4,1707,1708
mol865,CC/C(=C(\c1ccccc1)c1ccc(OCC[NH+](C)C)cc1)c1ccccc1,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,"9,203",19,N,1,0,1,0,SP3,FALSE,FALSE,4,1709,1710
mol866,CC/C(C)=C/C(=O)O,CC/C(C)=C/C(=O)[O-],"5,140",6,O,0,-1,1,0,SP2,FALSE,FALSE,2,1711,1712
mol867,CC/C(C)=C\C(=O)O,CC/C(C)=C\C(=O)[O-],"5,150",6,O,0,-1,1,0,SP2,FALSE,FALSE,2,1713,1714
mol868,CC/C(N)=[NH+]/O,CC/C(N)=N/O,"5,950",3,N,1,0,1,0,SP2,FALSE,FALSE,4,1716,1715
mol869,CC/C=C/C(=O)O,CC/C=C/C(=O)[O-],"4,690",6,O,0,-1,1,0,SP2,FALSE,FALSE,2,1717,1718
mol870,CC/C=C/CC(=O)N[C@H]1C(=O)N2[C@H]1SC(C)(C)[C@H]2C(=O)O,CC/C=C/CC(=O)N[C@H]1C(=O)N2[C@H]1SC(C)(C)[C@H]2C(=O)[O-],"2,840",20,O,0,-1,1,0,SP2,FALSE,FALSE,2,1719,1720
mol871,CC/C=C/CC(=O)O,CC/C=C/CC(=O)[O-],"4,520",7,O,0,-1,1,0,SP2,FALSE,FALSE,2,1721,1722
mol872,CC/[NH+]=c1\sc(-c2ccccc2)nn1CC,CC/N=c1\sc(-c2ccccc2)nn1CC,"6,700",2,N,1,0,1,0,SP2,FALSE,FALSE,4,1723,1724
mol873,CC/[NH+]=C(\N=[N+]=[N-])c1ccccc1O,CC/[NH+]=C(\N=[N+]=[N-])c1ccccc1[O-],"9,400",10,O,0,-1,1,0,SP2,FALSE,FALSE,2,1725,1726
mol874,CC1(C(=O)O)CCC=[N+]1[O-],CC1(C(=O)[O-])CCC=[N+]1[O-],"2,950",9,O,0,-1,1,0,SP2,FALSE,FALSE,2,1727,1728
mol875,CC1(C(=O)O)CCCCC1,CC1(C(=O)[O-])CCCCC1,"5,130",9,O,0,-1,1,0,SP2,FALSE,FALSE,2,1729,1730
mol876,CC1(C(F)(F)F)[NH2+]CCc2c1oc1cc(S(=O)(=O)c3cccc(F)c3)ccc21,CC1(C(F)(F)F)NCCc2c1oc1cc(S(=O)(=O)c3cccc(F)c3)ccc21,"5,700",23,N,1,0,2,1,SP3,FALSE,TRUE,4,1731,1732
mol877,CC1(C(F)F)[NH2+]CCc2c1oc1cc(S(=O)(=O)c3cccc(F)c3)ccc21,CC1(C(F)F)NCCc2c1oc1cc(S(=O)(=O)c3cccc(F)c3)ccc21,"6,200",23,N,1,0,2,1,SP3,FALSE,TRUE,4,1733,1734
mol878,CC1(C)C(=O)C=C(O)CC1=O,CC1(C)C(=O)C=C([O-])CC1=O,"4,200",9,O,0,-1,1,0,SP2,FALSE,FALSE,2,1735,1736
mol879,CC1(C)C(=O)NC(=O)C1(C)C,CC1(C)C(=O)[N-]C(=O)C1(C)C,"9,700",4,N,0,-1,1,0,SP2,FALSE,TRUE,3,1737,1738
mol880,CC1(C)C=C2[NH+]=C3CC(C)(C)CC(=O)C3CC2C(=O)C1,CC1(C)C=C2N=C3CC(C)(C)CC(=O)C3CC2C(=O)C1,"3,600",4,N,1,0,1,0,SP2,FALSE,TRUE,4,1739,1740
mol881,CC1(C)C=CC(C)(c2cc3ccc(=O)oc3cc2O)CC1,CC1(C)C=CC(C)(c2cc3ccc(=O)oc3cc2[O-])CC1,"8,120",19,O,0,-1,1,0,SP2,FALSE,FALSE,2,1741,1742
mol882,CC1(C)CC(=O)C(=CO)C(=O)C1,CC1(C)CC(=O)C(=C[O-])C(=O)C1,"3,650",7,O,0,-1,1,0,SP2,FALSE,FALSE,2,1743,1744
mol883,CC1(C)CC(=O)C(Br)=C(O)C1,CC1(C)CC(=O)C(Br)=C([O-])C1,"3,100",9,O,0,-1,1,0,SP2,FALSE,FALSE,2,1745,1746
mol884,CC1(C)CC(=O)C(C)(C)[NH2+]1,CC1(C)CC(=O)C(C)(C)N1,"7,100",6,N,1,0,2,1,SP3,FALSE,TRUE,4,1748,1747
mol885,CC1(C)CC(=O)C(N=O)=C(O)C1,CC1(C)CC(=O)C(N=O)=C([O-])C1,"5,400",10,O,0,-1,1,0,SP2,FALSE,FALSE,2,1749,1750
mol886,CC1(C)CC(=O)C=C(O)C1,CC1(C)CC(=O)C=C([O-])C1,"5,210",8,O,0,-1,1,0,SP2,FALSE,FALSE,2,1751,1752
mol887,CC1(C)CC(O)=CC1=O,CC1(C)CC([O-])=CC1=O,"4,200",7,O,0,-1,1,0,SP2,FALSE,FALSE,2,1753,1754
mol888,CC1(C)CCC(=O)N1O,CC1(C)CCC(=O)N1[O-],"8,700",7,O,0,-1,1,0,SP3,FALSE,FALSE,2,1755,1756
mol889,CC1(C)CCC(C(=O)O)=[N+]1[O-],CC1(C)CCC(C(=O)[O-])=[N+]1[O-],"2,800",9,O,0,-1,1,0,SP2,FALSE,FALSE,2,1757,1758
mol890,CC1(C)CCCC(C)(C)[NH2+]1,CC1(C)CCCC(C)(C)N1,"11,170",6,N,1,0,2,1,SP3,FALSE,TRUE,4,1759,1760
mol891,CC1(C)CCCC[NH+]1Cc1ccc2c(c1)OCO2,CC1(C)CCCCN1Cc1ccc2c(c1)OCO2,"10,200",6,N,1,0,1,0,SP3,FALSE,TRUE,4,1761,1762
mol892,CC1(C)CCC[NH+](Cc2ccc3c(c2)OCO3)C1,CC1(C)CCCN(Cc2ccc3c(c2)OCO3)C1,"9,400",5,N,1,0,1,0,SP3,FALSE,TRUE,4,1763,1764
mol893,CC1(C)CCC[NH+]1Cc1ccc2c(c1)OCO2,CC1(C)CCCN1Cc1ccc2c(c1)OCO2,"10,000",5,N,1,0,1,0,SP3,FALSE,TRUE,4,1765,1766
mol894,CC1(C)CC[NH+](Cc2ccc3c(c2)OCO3)C1,CC1(C)CCN(Cc2ccc3c(c2)OCO3)C1,"9,700",4,N,1,0,1,0,SP3,FALSE,TRUE,4,1767,1768
mol895,CC1(C)CC[NH+](Cc2ccc3c(c2)OCO3)CC1,CC1(C)CCN(Cc2ccc3c(c2)OCO3)CC1,"9,500",4,N,1,0,1,0,SP3,FALSE,TRUE,4,1769,1770
mol896,CC1(C)CC[NH+]1Cc1ccc2c(c1)OCO2,CC1(C)CCN1Cc1ccc2c(c1)OCO2,"10,100",4,N,1,0,1,0,SP3,FALSE,TRUE,4,1771,1772
mol897,CC1(C)CCc2c(Cl)c(O)c(Cl)c(Cl)c2O1,CC1(C)CCc2c(Cl)c([O-])c(Cl)c(Cl)c2O1,"7,100",11,O,0,-1,1,0,SP2,FALSE,FALSE,2,1773,1774
mol899,CC1(C)CCc2c(ccc(O)c2Cl)O1,CC1(C)CCc2c(ccc([O-])c2Cl)O1,"8,600",11,O,0,-1,1,0,SP2,FALSE,FALSE,2,1775,1776
mol900,CC1(C)CCc2cc(O)c(Cl)cc2O1,CC1(C)CCc2cc([O-])c(Cl)cc2O1,"9,100",12,O,0,-1,1,0,SP2,FALSE,FALSE,2,1777,1778
mol901,CC1(C)CCc2cc(O)cc(Cl)c2O1,CC1(C)CCc2cc([O-])cc(Cl)c2O1,"9,800",12,O,0,-1,1,0,SP2,FALSE,FALSE,2,1779,1780
mol902,CC1(C)CCc2cc(O)ccc2O1,CC1(C)CCc2cc([O-])ccc2O1,"10,300",11,O,0,-1,1,0,SP2,FALSE,FALSE,2,1781,1782
mol903,CC1(C)CCc2cc(S(=O)(=O)N(CC(=O)O)Cc3cccc(-c4ccccc4)c3)ccc2O1,CC1(C)CCc2cc(S(=O)(=O)N(CC(=O)[O-])Cc3cccc(-c4ccccc4)c3)ccc2O1,"3,400",31,O,0,-1,1,0,SP2,FALSE,FALSE,2,1783,1784
mol904,CC1(C)C[C@@H](C[NH+]2CCC(F)(CNC(=O)c3cc(Cl)cc(Cl)c3)CC2)CCO1,CC1(C)C[C@@H](CN2CCC(F)(CNC(=O)c3cc(Cl)cc(Cl)c3)CC2)CCO1,"7,900",8,N,1,0,1,0,SP3,FALSE,TRUE,4,1785,1786
mol905,CC1(C)C[NH+](Cc2ccc3c(c2)OCO3)C1,CC1(C)CN(Cc2ccc3c(c2)OCO3)C1,"9,600",3,N,1,0,1,0,SP3,FALSE,TRUE,4,1787,1788
mol906,CC1(C)C[NH2+]1,CC1(C)CN1,"5,370",3,N,1,0,2,1,SP3,FALSE,TRUE,4,1790,1789
mol907,CC1(C)N=C(C([OH2+])=CC(=O)C(F)(F)F)C(C)(C)N1[O-],CC1(C)N=C(C(O)=CC(=O)C(F)(F)F)C(C)(C)N1[O-],"4,660",17,O,1,0,2,1,SP2,FALSE,FALSE,3,1791,1792
mol908,CC1(C)NC(=O)NC1=O,CC1(C)NC(=O)[N-]C1=O,"9,190",4,N,0,-1,1,0,SP2,FALSE,TRUE,3,1793,1794
mol909,CC1(C)NC(=S)NC1=O,CC1(C)NC(=S)[N-]C1=O,"8,710",4,N,0,-1,1,0,SP2,FALSE,TRUE,3,1795,1796
mol910,CC1(C)NC(=S)NC1=S,CC1(C)NC(=S)[N-]C1=S,"7,650",4,N,0,-1,1,0,SP2,FALSE,TRUE,3,1797,1798
mol911,CC1(C)OC(=O)C=C(O)O1,CC1(C)OC(=O)C=C([O-])O1,"5,150",8,O,0,-1,1,0,SP2,FALSE,FALSE,2,1799,1800
mol912,CC1(C)OC(=O)C[C@H]2[C@@H](C(=O)[O-])[NH2+]C[C@H]21,CC1(C)OC(=O)C[C@H]2[C@@H](C(=O)[O-])NC[C@H]21,"9,000",4,N,1,0,2,1,SP3,FALSE,TRUE,4,1801,1802
mol913,CC1(C)OC(=O)NC1=O,CC1(C)OC(=O)[N-]C1=O,"6,150",4,N,0,-1,1,0,SP2,FALSE,TRUE,3,1803,1804
mol914,CC1(C)O[C@@H]2CC(=O)OC[C@]23[C@@H]1CC(=O)[C@@]1(C)[C@H]3C[C@](C)(CC2CCOC2)C[C@]12O[C@H]2C(=O)O,CC1(C)O[C@@H]2CC(=O)OC[C@]23[C@@H]1CC(=O)[C@@]1(C)[C@H]3C[C@](C)(CC2CCOC2)C[C@]12O[C@H]2C(=O)[O-],"2,700",26,O,0,-1,1,0,SP2,FALSE,FALSE,2,1805,1806
mol915,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(CNS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(C[N-]S(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,"10,700",16,N,0,-1,1,0,SP3,FALSE,FALSE,3,1807,1808
mol916,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS([NH-])(=O)=O)OC(C)(C)O[C@@H]23)O1,"8,700",20,N,0,-1,2,1,SP3,FALSE,FALSE,3,1809,1810
mol917,CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]2CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]54[C@]2(C)/C(=N\OCC[NH+]2CCCCC2)C[C@@H]13,CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]2CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]54[C@]2(C)/C(=N\OCCN2CCCCC2)C[C@@H]13,"8,870",23,N,1,0,1,0,SP3,FALSE,TRUE,4,1811,1812
mol918,CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]2CC[C@]4(C)C(=CC(=O)O[C@H]4c4ccoc4)[C@]2(C)/C(=N\OCC[NH+]2CCOCC2)C[C@@H]13,CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]2CC[C@]4(C)C(=CC(=O)O[C@H]4c4ccoc4)[C@]2(C)/C(=N\OCCN2CCOCC2)C[C@@H]13,"6,840",22,N,1,0,1,0,SP3,FALSE,TRUE,4,1814,1813
mol919,CC1(C)SC(=O)NC1=O,CC1(C)SC(=O)[N-]C1=O,"6,640",4,N,0,-1,1,0,SP2,FALSE,TRUE,3,1815,1816
mol920,CC1(C)SC(=S)NC1=O,CC1(C)SC(=S)[N-]C1=O,"5,380",4,N,0,-1,1,0,SP2,FALSE,TRUE,3,1817,1818
mol921,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[O-],"2,800",21,O,0,-1,1,0,SP2,FALSE,FALSE,2,1819,1820
mol922,CC1(C)S[C@H]2[C@@H](NC(=O)Cc3ccccc3)C(=O)N2[C@@H]1C(=O)O,CC1(C)S[C@H]2[C@@H](NC(=O)Cc3ccccc3)C(=O)N2[C@@H]1C(=O)[O-],"2,760",21,O,0,-1,1,0,SP2,FALSE,FALSE,2,1821,1822
mol923,CC1(C)[C@@H]2CC[C@](C(=O)O)(C2)[C@@H]1O,CC1(C)[C@@H]2CC[C@](C(=O)[O-])(C2)[C@@H]1O,"4,830",11,O,0,-1,1,0,SP2,FALSE,FALSE,2,1823,1824
mol924,CC1(C)[C@@H]2CC[C@](C(=O)O)(C2)[C@H]1O,CC1(C)[C@@H]2CC[C@](C(=O)[O-])(C2)[C@H]1O,"5,050",11,O,0,-1,1,0,SP2,FALSE,FALSE,2,1825,1826
mol925,CC1(C)[C@H]2CC[C@@]1(C)[C@@H](O)[C@@H]2C(=O)O,CC1(C)[C@H]2CC[C@@]1(C)[C@@H](O)[C@@H]2C(=O)[O-],"2,740",13,O,0,-1,1,0,SP2,FALSE,FALSE,2,1827,1828
mol926,CC1(C)[C@H]2CC[C@@]1(C)[C@@H](O)[C@H]2C(=O)O,CC1(C)[C@H]2CC[C@@]1(C)[C@@H](O)[C@H]2C(=O)[O-],"2,050",13,O,0,-1,1,0,SP2,FALSE,FALSE,2,1829,1830
mol927,CC1(C2CCCC2)Cc2cc(OC/C=C/CC(=O)O)c(Cl)c(Cl)c2C1=O,CC1(C2CCCC2)Cc2cc(OC/C=C/CC(=O)[O-])c(Cl)c(Cl)c2C1=O,"5,100",20,O,0,-1,1,0,SP2,FALSE,FALSE,2,1831,1832
mol928,CC1(C2CCCC2)Cc2cc(OC3(C(=O)O)CCC3)c(Cl)c(Cl)c2C1=O,CC1(C2CCCC2)Cc2cc(OC3(C(=O)[O-])CCC3)c(Cl)c(Cl)c2C1=O,"3,800",20,O,0,-1,1,0,SP2,FALSE,FALSE,2,1833,1834
mol929,CC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,CC1(C2CCCC2)Cc2cc(OCC(=O)[O-])c(Cl)c(Cl)c2C1=O,"3,900",17,O,0,-1,1,0,SP2,FALSE,FALSE,2,1835,1836
mol930,CC1(C2CCCC2)Cc2cc(OCCCC(=O)O)c(Cl)c(Cl)c2C1=O,CC1(C2CCCC2)Cc2cc(OCCCC(=O)[O-])c(Cl)c(Cl)c2C1=O,"5,700",19,O,0,-1,1,0,SP2,FALSE,FALSE,2,1837,1838
mol931,CC1(C2CCCC2)Cc2cc(OCc3ccc(C(=O)O)cc3)c(Cl)c(Cl)c2C1=O,CC1(C2CCCC2)Cc2cc(OCc3ccc(C(=O)[O-])cc3)c(Cl)c(Cl)c2C1=O,"6,200",23,O,0,-1,1,0,SP2,FALSE,FALSE,2,1839,1840
mol932,CC1(Cc2ccccc2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,CC1(Cc2ccccc2)Cc2cc(OCC(=O)[O-])c(Cl)c(Cl)c2C1=O,"3,800",17,O,0,-1,1,0,SP2,FALSE,FALSE,2,1841,1842
